级别,模块,标题,期望,实际,说明,修复建议
INFO,外键推断,建议添加外键: finance_payment_record.customer_id → customer_master,应添加外键约束保证数据完整性,当前无约束,customer_id 命名暗示外键关系,ALTER TABLE `finance_payment_record` ADD CONSTRAINT fk_finance_payment_record_customer_id FOREIGN KEY (customer_id) REFERENCES customer_master(id);
INFO,外键推断,建议添加外键: finance_payment_record.booking_id → booking_master,应添加外键约束保证数据完整性,当前无约束,booking_id 命名暗示外键关系,ALTER TABLE `finance_payment_record` ADD CONSTRAINT fk_finance_payment_record_booking_id FOREIGN KEY (booking_id) REFERENCES booking_master(id);
INFO,外键推断,建议添加外键: finance_payment_record.account_id → finance_account,应添加外键约束保证数据完整性,当前无约束,account_id 命名暗示外键关系,ALTER TABLE `finance_payment_record` ADD CONSTRAINT fk_finance_payment_record_account_id FOREIGN KEY (account_id) REFERENCES finance_account(id);
WARNING,外键推断,_id列未匹配到表: finance_payment_record.operator_id → operator?,如果是外键需确认目标表,数据库中无`operator`,finance_payment_record.operator_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`operator`或添加约束
INFO,外键推断,建议添加外键: finance_receivable.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `finance_receivable` ADD CONSTRAINT fk_finance_receivable_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: finance_receivable.customer_id → customer_master,应添加外键约束保证数据完整性,当前无约束,customer_id 命名暗示外键关系,ALTER TABLE `finance_receivable` ADD CONSTRAINT fk_finance_receivable_customer_id FOREIGN KEY (customer_id) REFERENCES customer_master(id);
INFO,外键推断,建议添加外键: finance_receivable.booking_id → booking_master,应添加外键约束保证数据完整性,当前无约束,booking_id 命名暗示外键关系,ALTER TABLE `finance_receivable` ADD CONSTRAINT fk_finance_receivable_booking_id FOREIGN KEY (booking_id) REFERENCES booking_master(id);
WARNING,外键推断,_id列未匹配到表: finance_receivable.operator_id → operator?,如果是外键需确认目标表,数据库中无`operator`,finance_receivable.operator_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`operator`或添加约束
INFO,外键推断,建议添加外键: finance_reconciliation.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `finance_reconciliation` ADD CONSTRAINT fk_finance_reconciliation_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: finance_reconciliation.account_id → finance_account,应添加外键约束保证数据完整性,当前无约束,account_id 命名暗示外键关系,ALTER TABLE `finance_reconciliation` ADD CONSTRAINT fk_finance_reconciliation_account_id FOREIGN KEY (account_id) REFERENCES finance_account(id);
WARNING,外键推断,_id列未匹配到表: finance_reconciliation.operator_id → operator?,如果是外键需确认目标表,数据库中无`operator`,finance_reconciliation.operator_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`operator`或添加约束
INFO,外键推断,建议添加外键: finance_settlement.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `finance_settlement` ADD CONSTRAINT fk_finance_settlement_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
WARNING,外键推断,_id列未匹配到表: finance_settlement.operator_id → operator?,如果是外键需确认目标表,数据库中无`operator`,finance_settlement.operator_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`operator`或添加约束
INFO,外键推断,建议添加外键: finance_transaction.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `finance_transaction` ADD CONSTRAINT fk_finance_transaction_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: finance_transaction.account_id → finance_account,应添加外键约束保证数据完整性,当前无约束,account_id 命名暗示外键关系,ALTER TABLE `finance_transaction` ADD CONSTRAINT fk_finance_transaction_account_id FOREIGN KEY (account_id) REFERENCES finance_account(id);
WARNING,外键推断,_id列未匹配到表: finance_transaction.related_id → related?,如果是外键需确认目标表,数据库中无`related`,finance_transaction.related_id(bigint) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`related`或添加约束
WARNING,外键推断,_id列未匹配到表: finance_transaction.operator_id → operator?,如果是外键需确认目标表,数据库中无`operator`,finance_transaction.operator_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`operator`或添加约束
INFO,外键推断,建议添加外键: finance_voucher.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `finance_voucher` ADD CONSTRAINT fk_finance_voucher_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: finance_voucher_detail.voucher_id → finance_voucher,应添加外键约束保证数据完整性,当前无约束,voucher_id 命名暗示外键关系,ALTER TABLE `finance_voucher_detail` ADD CONSTRAINT fk_finance_voucher_detail_voucher_id FOREIGN KEY (voucher_id) REFERENCES finance_voucher(id);
INFO,外键推断,建议添加外键: finance_voucher_detail.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `finance_voucher_detail` ADD CONSTRAINT fk_finance_voucher_detail_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
WARNING,外键推断,_id列未匹配到表: finance_voucher_detail.related_id → related?,如果是外键需确认目标表,数据库中无`related`,finance_voucher_detail.related_id(bigint) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`related`或添加约束
INFO,外键推断,建议添加外键: hr_payroll.staff_id → staff_master,应添加外键约束保证数据完整性,当前无约束,staff_id 命名暗示外键关系,ALTER TABLE `hr_payroll` ADD CONSTRAINT fk_hr_payroll_staff_id FOREIGN KEY (staff_id) REFERENCES staff_master(id);
INFO,外键推断,建议添加外键: hr_payroll.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `hr_payroll` ADD CONSTRAINT fk_hr_payroll_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
WARNING,外键推断,_id列未匹配到表: hr_payroll.operator_id → operator?,如果是外键需确认目标表,数据库中无`operator`,hr_payroll.operator_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`operator`或添加约束
INFO,外键推断,建议添加外键: ingredient_inventory_log.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `ingredient_inventory_log` ADD CONSTRAINT fk_ingredient_inventory_log_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: ingredient_inventory_log.ingredient_id → ingredient_master,应添加外键约束保证数据完整性,当前无约束,ingredient_id 命名暗示外键关系,ALTER TABLE `ingredient_inventory_log` ADD CONSTRAINT fk_ingredient_inventory_log_ingredient_id FOREIGN KEY (ingredient_id) REFERENCES ingredient_master(id);
WARNING,外键推断,_id列未匹配到表: ingredient_inventory_log.reference_id → reference?,如果是外键需确认目标表,数据库中无`reference`,ingredient_inventory_log.reference_id(varchar(100)) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`reference`或添加约束
WARNING,外键推断,_id列未匹配到表: ingredient_inventory_log.related_order_id → related_order?,如果是外键需确认目标表,数据库中无`related_order`,ingredient_inventory_log.related_order_id(varchar(50)) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`related_order`或添加约束
WARNING,外键推断,_id列未匹配到表: ingredient_inventory_log.operator_id → operator?,如果是外键需确认目标表,数据库中无`operator`,ingredient_inventory_log.operator_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`operator`或添加约束
WARNING,外键推断,_id列未匹配到表: ingredient_master.primary_supplier_id → primary_supplier?,如果是外键需确认目标表,数据库中无`primary_supplier`,ingredient_master.primary_supplier_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`primary_supplier`或添加约束
INFO,外键推断,建议添加外键: ingredient_master.supplier_id → supplier_master,应添加外键约束保证数据完整性,当前无约束,supplier_id 命名暗示外键关系,ALTER TABLE `ingredient_master` ADD CONSTRAINT fk_ingredient_master_supplier_id FOREIGN KEY (supplier_id) REFERENCES supplier_master(id);
INFO,外键推断,建议添加外键: ingredient_purchase.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `ingredient_purchase` ADD CONSTRAINT fk_ingredient_purchase_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: ingredient_purchase.ingredient_id → ingredient_master,应添加外键约束保证数据完整性,当前无约束,ingredient_id 命名暗示外键关系,ALTER TABLE `ingredient_purchase` ADD CONSTRAINT fk_ingredient_purchase_ingredient_id FOREIGN KEY (ingredient_id) REFERENCES ingredient_master(id);
WARNING,外键推断,_id列未匹配到表: ingredient_purchase.operator_id → operator?,如果是外键需确认目标表,数据库中无`operator`,ingredient_purchase.operator_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`operator`或添加约束
INFO,外键推断,建议添加外键: inventory_summary.ingredient_id → ingredient_master,应添加外键约束保证数据完整性,当前无约束,ingredient_id 命名暗示外键关系,ALTER TABLE `inventory_summary` ADD CONSTRAINT fk_inventory_summary_ingredient_id FOREIGN KEY (ingredient_id) REFERENCES ingredient_master(id);
INFO,外键推断,建议添加外键: kitchen_log.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `kitchen_log` ADD CONSTRAINT fk_kitchen_log_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: kitchen_log.booking_id → booking_master,应添加外键约束保证数据完整性,当前无约束,booking_id 命名暗示外键关系,ALTER TABLE `kitchen_log` ADD CONSTRAINT fk_kitchen_log_booking_id FOREIGN KEY (booking_id) REFERENCES booking_master(id);
INFO,外键推断,建议添加外键: kitchen_log.dish_id → dish_master,应添加外键约束保证数据完整性,当前无约束,dish_id 命名暗示外键关系,ALTER TABLE `kitchen_log` ADD CONSTRAINT fk_kitchen_log_dish_id FOREIGN KEY (dish_id) REFERENCES dish_master(id);
WARNING,外键推断,_id列未匹配到表: kitchen_log.operator_id → operator?,如果是外键需确认目标表,数据库中无`operator`,kitchen_log.operator_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`operator`或添加约束
INFO,外键推断,建议添加外键: leave_record.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `leave_record` ADD CONSTRAINT fk_leave_record_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: leave_record.staff_id → staff_master,应添加外键约束保证数据完整性,当前无约束,staff_id 命名暗示外键关系,ALTER TABLE `leave_record` ADD CONSTRAINT fk_leave_record_staff_id FOREIGN KEY (staff_id) REFERENCES staff_master(id);
WARNING,外键推断,_id列未匹配到表: leave_record.approver_id → approver?,如果是外键需确认目标表,数据库中无`approver`,leave_record.approver_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`approver`或添加约束
INFO,外键推断,建议添加外键: maintenance_asset.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `maintenance_asset` ADD CONSTRAINT fk_maintenance_asset_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: maintenance_request.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `maintenance_request` ADD CONSTRAINT fk_maintenance_request_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
WARNING,外键推断,_id列未匹配到表: maintenance_request.handler_id → handler?,如果是外键需确认目标表,数据库中无`handler`,maintenance_request.handler_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`handler`或添加约束
WARNING,外键推断,_id列未匹配到表: maintenance_request.reporter_id → reporter?,如果是外键需确认目标表,数据库中无`reporter`,maintenance_request.reporter_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`reporter`或添加约束
INFO,外键推断,建议添加外键: marketing_activity.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `marketing_activity` ADD CONSTRAINT fk_marketing_activity_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
WARNING,外键推断,_id列未匹配到表: marketing_activity.operator_id → operator?,如果是外键需确认目标表,数据库中无`operator`,marketing_activity.operator_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`operator`或添加约束
INFO,外键推断,建议添加外键: marketing_coupon.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `marketing_coupon` ADD CONSTRAINT fk_marketing_coupon_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: marketing_coupon_record.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `marketing_coupon_record` ADD CONSTRAINT fk_marketing_coupon_record_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: marketing_coupon_record.coupon_id → marketing_coupon,应添加外键约束保证数据完整性,当前无约束,coupon_id 命名暗示外键关系,ALTER TABLE `marketing_coupon_record` ADD CONSTRAINT fk_marketing_coupon_record_coupon_id FOREIGN KEY (coupon_id) REFERENCES marketing_coupon(id);
INFO,外键推断,建议添加外键: marketing_coupon_record.member_id → member_card,应添加外键约束保证数据完整性,当前无约束,member_id 命名暗示外键关系,ALTER TABLE `marketing_coupon_record` ADD CONSTRAINT fk_marketing_coupon_record_member_id FOREIGN KEY (member_id) REFERENCES member_card(id);
INFO,外键推断,建议添加外键: marketing_coupon_record.booking_id → booking_master,应添加外键约束保证数据完整性,当前无约束,booking_id 命名暗示外键关系,ALTER TABLE `marketing_coupon_record` ADD CONSTRAINT fk_marketing_coupon_record_booking_id FOREIGN KEY (booking_id) REFERENCES booking_master(id);
WARNING,外键推断,_id列未匹配到表: marketing_coupon_record.operator_id → operator?,如果是外键需确认目标表,数据库中无`operator`,marketing_coupon_record.operator_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`operator`或添加约束
INFO,外键推断,建议添加外键: marketing_discount_rule.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `marketing_discount_rule` ADD CONSTRAINT fk_marketing_discount_rule_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
WARNING,外键推断,_id列未匹配到表: marketing_discount_rule.gift_item_id → gift_item?,如果是外键需确认目标表,数据库中无`gift_item`,marketing_discount_rule.gift_item_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`gift_item`或添加约束
INFO,外键推断,建议添加外键: marketing_lottery.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `marketing_lottery` ADD CONSTRAINT fk_marketing_lottery_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: marketing_member_reward.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `marketing_member_reward` ADD CONSTRAINT fk_marketing_member_reward_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
WARNING,外键推断,_id列未匹配到表: marketing_member_reward.reward_coupon_id → reward_coupon?,如果是外键需确认目标表,数据库中无`reward_coupon`,marketing_member_reward.reward_coupon_id(bigint) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`reward_coupon`或添加约束
INFO,外键推断,建议添加外键: marketing_promo_code.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `marketing_promo_code` ADD CONSTRAINT fk_marketing_promo_code_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: member_card.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `member_card` ADD CONSTRAINT fk_member_card_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: member_card.level_id → member_level,应添加外键约束保证数据完整性,当前无约束,level_id 命名暗示外键关系,ALTER TABLE `member_card` ADD CONSTRAINT fk_member_card_level_id FOREIGN KEY (level_id) REFERENCES member_level(id);
WARNING,外键推断,_id列未匹配到表: member_card.register_store_id → register_store?,如果是外键需确认目标表,数据库中无`register_store`,member_card.register_store_id(bigint) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`register_store`或添加约束
WARNING,外键推断,_id列未匹配到表: member_card.referrer_id → referrer?,如果是外键需确认目标表,数据库中无`referrer`,member_card.referrer_id(bigint) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`referrer`或添加约束
INFO,外键推断,建议添加外键: member_consume_record.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `member_consume_record` ADD CONSTRAINT fk_member_consume_record_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: member_consume_record.member_id → member_card,应添加外键约束保证数据完整性,当前无约束,member_id 命名暗示外键关系,ALTER TABLE `member_consume_record` ADD CONSTRAINT fk_member_consume_record_member_id FOREIGN KEY (member_id) REFERENCES member_card(id);
INFO,外键推断,建议添加外键: member_consume_record.booking_id → booking_master,应添加外键约束保证数据完整性,当前无约束,booking_id 命名暗示外键关系,ALTER TABLE `member_consume_record` ADD CONSTRAINT fk_member_consume_record_booking_id FOREIGN KEY (booking_id) REFERENCES booking_master(id);
WARNING,外键推断,_id列未匹配到表: member_consume_record.operator_id → operator?,如果是外键需确认目标表,数据库中无`operator`,member_consume_record.operator_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`operator`或添加约束
INFO,外键推断,建议添加外键: member_level.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `member_level` ADD CONSTRAINT fk_member_level_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: member_point_log.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `member_point_log` ADD CONSTRAINT fk_member_point_log_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: member_point_log.member_id → member_card,应添加外键约束保证数据完整性,当前无约束,member_id 命名暗示外键关系,ALTER TABLE `member_point_log` ADD CONSTRAINT fk_member_point_log_member_id FOREIGN KEY (member_id) REFERENCES member_card(id);
WARNING,外键推断,_id列未匹配到表: member_point_log.related_id → related?,如果是外键需确认目标表,数据库中无`related`,member_point_log.related_id(bigint) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`related`或添加约束
WARNING,外键推断,_id列未匹配到表: member_point_log.operator_id → operator?,如果是外键需确认目标表,数据库中无`operator`,member_point_log.operator_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`operator`或添加约束
INFO,外键推断,建议添加外键: member_point_rule.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `member_point_rule` ADD CONSTRAINT fk_member_point_rule_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: member_recharge_record.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `member_recharge_record` ADD CONSTRAINT fk_member_recharge_record_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: member_recharge_record.member_id → member_card,应添加外键约束保证数据完整性,当前无约束,member_id 命名暗示外键关系,ALTER TABLE `member_recharge_record` ADD CONSTRAINT fk_member_recharge_record_member_id FOREIGN KEY (member_id) REFERENCES member_card(id);
INFO,外键推断,建议添加外键: member_recharge_record.activity_id → marketing_activity,应添加外键约束保证数据完整性,当前无约束,activity_id 命名暗示外键关系,ALTER TABLE `member_recharge_record` ADD CONSTRAINT fk_member_recharge_record_activity_id FOREIGN KEY (activity_id) REFERENCES marketing_activity(id);
WARNING,外键推断,_id列未匹配到表: member_recharge_record.operator_id → operator?,如果是外键需确认目标表,数据库中无`operator`,member_recharge_record.operator_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`operator`或添加约束
WARNING,外键推断,_id列未匹配到表: orders.table_id → table?,如果是外键需确认目标表,数据库中无`table`,orders.table_id(varchar(64)) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`table`或添加约束
INFO,外键推断,建议添加外键: overtime.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `overtime` ADD CONSTRAINT fk_overtime_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: overtime.staff_id → staff_master,应添加外键约束保证数据完整性,当前无约束,staff_id 命名暗示外键关系,ALTER TABLE `overtime` ADD CONSTRAINT fk_overtime_staff_id FOREIGN KEY (staff_id) REFERENCES staff_master(id);
WARNING,外键推断,_id列未匹配到表: overtime.approver_id → approver?,如果是外键需确认目标表,数据库中无`approver`,overtime.approver_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`approver`或添加约束
INFO,外键推断,建议添加外键: package_dish_detail.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `package_dish_detail` ADD CONSTRAINT fk_package_dish_detail_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: package_dish_detail.package_id → package_master,应添加外键约束保证数据完整性,当前无约束,package_id 命名暗示外键关系,ALTER TABLE `package_dish_detail` ADD CONSTRAINT fk_package_dish_detail_package_id FOREIGN KEY (package_id) REFERENCES package_master(id);
INFO,外键推断,建议添加外键: package_dish_detail.dish_id → dish_master,应添加外键约束保证数据完整性,当前无约束,dish_id 命名暗示外键关系,ALTER TABLE `package_dish_detail` ADD CONSTRAINT fk_package_dish_detail_dish_id FOREIGN KEY (dish_id) REFERENCES dish_master(id);
INFO,外键推断,建议添加外键: package_dish_rel.dish_id → dish_master,应添加外键约束保证数据完整性,当前无约束,dish_id 命名暗示外键关系,ALTER TABLE `package_dish_rel` ADD CONSTRAINT fk_package_dish_rel_dish_id FOREIGN KEY (dish_id) REFERENCES dish_master(id);
INFO,外键推断,建议添加外键: preprocessing_record.ingredient_id → ingredient_master,应添加外键约束保证数据完整性,当前无约束,ingredient_id 命名暗示外键关系,ALTER TABLE `preprocessing_record` ADD CONSTRAINT fk_preprocessing_record_ingredient_id FOREIGN KEY (ingredient_id) REFERENCES ingredient_master(id);
INFO,外键推断,建议添加外键: procurement_request.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `procurement_request` ADD CONSTRAINT fk_procurement_request_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: procurement_request.department_id → department,应添加外键约束保证数据完整性,当前无约束,department_id 命名暗示外键关系,ALTER TABLE `procurement_request` ADD CONSTRAINT fk_procurement_request_department_id FOREIGN KEY (department_id) REFERENCES department(id);
WARNING,外键推断,_id列未匹配到表: procurement_request.requester_id → requester?,如果是外键需确认目标表,数据库中无`requester`,procurement_request.requester_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`requester`或添加约束
WARNING,外键推断,_id列未匹配到表: procurement_request.approver_id → approver?,如果是外键需确认目标表,数据库中无`approver`,procurement_request.approver_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`approver`或添加约束
INFO,外键推断,建议添加外键: procurement_request_item.ingredient_id → ingredient_master,应添加外键约束保证数据完整性,当前无约束,ingredient_id 命名暗示外键关系,ALTER TABLE `procurement_request_item` ADD CONSTRAINT fk_procurement_request_item_ingredient_id FOREIGN KEY (ingredient_id) REFERENCES ingredient_master(id);
INFO,外键推断,建议添加外键: purchase_order.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `purchase_order` ADD CONSTRAINT fk_purchase_order_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: purchase_order.supplier_id → supplier_master,应添加外键约束保证数据完整性,当前无约束,supplier_id 命名暗示外键关系,ALTER TABLE `purchase_order` ADD CONSTRAINT fk_purchase_order_supplier_id FOREIGN KEY (supplier_id) REFERENCES supplier_master(id);
WARNING,外键推断,_id列未匹配到表: purchase_order.purchaser_id → purchaser?,如果是外键需确认目标表,数据库中无`purchaser`,purchase_order.purchaser_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`purchaser`或添加约束
WARNING,外键推断,_id列未匹配到表: purchase_order.approver_id → approver?,如果是外键需确认目标表,数据库中无`approver`,purchase_order.approver_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`approver`或添加约束
WARNING,外键推断,_id列未匹配到表: purchase_order.warehouse_keeper_id → warehouse_keeper?,如果是外键需确认目标表,数据库中无`warehouse_keeper`,purchase_order.warehouse_keeper_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`warehouse_keeper`或添加约束
WARNING,外键推断,_id列未匹配到表: purchase_order_detail.order_id → order?,如果是外键需确认目标表,数据库中无`order`,purchase_order_detail.order_id(bigint) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`order`或添加约束
INFO,外键推断,建议添加外键: purchase_order_detail.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `purchase_order_detail` ADD CONSTRAINT fk_purchase_order_detail_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
INFO,外键推断,建议添加外键: purchase_order_detail.ingredient_id → ingredient_master,应添加外键约束保证数据完整性,当前无约束,ingredient_id 命名暗示外键关系,ALTER TABLE `purchase_order_detail` ADD CONSTRAINT fk_purchase_order_detail_ingredient_id FOREIGN KEY (ingredient_id) REFERENCES ingredient_master(id);
INFO,外键推断,建议添加外键: purchase_receipt.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `purchase_receipt` ADD CONSTRAINT fk_purchase_receipt_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
WARNING,外键推断,_id列未匹配到表: purchase_receipt.order_id → order?,如果是外键需确认目标表,数据库中无`order`,purchase_receipt.order_id(bigint) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`order`或添加约束
INFO,外键推断,建议添加外键: purchase_receipt.supplier_id → supplier_master,应添加外键约束保证数据完整性,当前无约束,supplier_id 命名暗示外键关系,ALTER TABLE `purchase_receipt` ADD CONSTRAINT fk_purchase_receipt_supplier_id FOREIGN KEY (supplier_id) REFERENCES supplier_master(id);
WARNING,外键推断,_id列未匹配到表: purchase_receipt.warehouse_keeper_id → warehouse_keeper?,如果是外键需确认目标表,数据库中无`warehouse_keeper`,purchase_receipt.warehouse_keeper_id(int) 可能是业务ID或自增主键,如非外键可忽略; 如是外键需创建表`warehouse_keeper`或添加约束
INFO,外键推断,建议添加外键: purchase_receipt_detail.receipt_id → purchase_receipt,应添加外键约束保证数据完整性,当前无约束,receipt_id 命名暗示外键关系,ALTER TABLE `purchase_receipt_detail` ADD CONSTRAINT fk_purchase_receipt_detail_receipt_id FOREIGN KEY (receipt_id) REFERENCES purchase_receipt(id);
INFO,外键推断,建议添加外键: purchase_receipt_detail.store_id → store_info,应添加外键约束保证数据完整性,当前无约束,store_id 命名暗示外键关系,ALTER TABLE `purchase_receipt_detail` ADD CONSTRAINT fk_purchase_receipt_detail_store_id FOREIGN KEY (store_id) REFERENCES store_info(id);
